latency,throughput,parallel events,subscriptions
0.155186,6.441173,1,1
0.173306,11.462276,2,1
0.256942,11.474315,3,1
0.417874,9.444600,4,1
0.221233,4.518474,1,1
0.096647,20.439774,2,1
0.109372,26.247455,3,1
0.107663,34.435810,4,1
0.115599,8.644785,1,1
0.217809,9.018836,2,1
0.125967,23.174846,3,1
0.204414,18.886049,4,1
0.168734,5.923688,1,1
0.247283,7.164797,2,1
0.076188,37.638406,3,1
0.151891,24.334825,4,1
0.085694,11.655569,1,1
0.201366,9.839693,2,1
0.316947,8.706171,3,1
0.171325,22.310838,4,1
